vendor,avg_discount_rate
NoFrills,16.0448786418971
Loblaws,16.3309615293293
Voila,20.0202949181305
Galleria,21.1997296125871
Metro,22.1304828589738
SaveOnFoods,22.4622923828109
Walmart,26.3990829022872
TandT,26.8024184675971
